Tracking Id,Shipment Type,Shipment Tier Type,Reverse Shipment Id,Type,Price,Delivery Pincode,Latest Status,Delivery Hub,Current Location,Latest Update Time,First Receive Hub,First Receive Time,Hub Notes,Cs Notes,No. of Attempts,Bag Id,BagStatus,Customer Promise Date,Logistics Promise Date,On Hold By Ops Reason,On Hold by Ops Date,First Assigned Hub Name,Last Receive DateTime,Order Id
FMPC3728992122,NORMAL_FORWARD,ECONOMY,,COD,784.0,395010,Delivered,MotavarachaMPhub_STV,MotavarachaMPhub_STV,2024-06-08 13:04:19,MotherHub_PUNE,2024-05-22 19:45:07,Updated from FM,Marked_As_RTO,4,ESTVMTV-1785189,TERMINATED,2024-05-29 23:59:59,2024-05-26 11:30:00,,,LargeLogicBellampalliODH_BMP,2024-06-08 10:20:30,OD431312883999165100
FMPC3736528745,NORMAL_FORWARD,ECONOMY,,COD,456.0,501401,Received_By_Ekl,Hyderabad Medchal 01,Hyderabad Medchal 01,2024-06-05 11:38:29,MotherHub_MED,2024-05-24 11:45:31,Shipment Received at RC,Marked_As_RTO,6,Ehyderab-659512224,TERMINATED,2024-05-29 23:59:59,,,,LargeLogicBellampalliODH_BMP,2024-06-01 13:54:07,OD331338021661731100
FMPC3726896593,NORMAL_FORWARD,ECONOMY,,COD,1199.0,560064,Delivered,YelahankaMPHub_BLR,YelahankaMPHub_BLR,2024-06-07 13:02:50,MotherHub_BLR,2024-05-22 01:58:35,Updated from FM,Marked_As_RTO,9,EBLRYHM-660843545,TERMINATED,2024-05-29 23:59:59,2024-05-24 11:30:00,,,LargeLogicBellampalliODH_BMP,2024-06-07 11:50:35,OD431303991807870100
FMPC3736826428,NORMAL_FORWARD,ECONOMY,,COD,314.0,711316,Received_By_Ekl,kolkata uluberia bts,kolkata uluberia bts,2024-06-07 21:08:19,Motherhub_ULB,2024-05-24 12:35:14,Shipment Received at RC,Marked_As_RTO,3,EULBRC-1665014,OPENED,2024-06-03 23:59:59,,,,LargeLogicBellampalliODH_BMP,2024-06-06 22:07:45,OD331338413347150100
FMPC3740366795,NORMAL_FORWARD,ECONOMY,,COD,401.0,501401,Expected,Hyderabad_Grocery_Pudur_Warehouse_01,GroceryMH_HYD,2024-06-05 09:04:57,GroceryMH_HYD,2024-05-26 02:00:20,,Marked_As_RTO,5,682-189986,IN_TRANSIT,2024-05-30 23:59:59,,,,LargeLogicBellampalliODH_BMP,2024-05-27 10:21:55,OD431348075142154200
FMPC3732923314,NORMAL_FORWARD,ECONOMY,,COD,454.0,400064,Expected,GoregaonMPHub_MUM,Motherhub_SAI_4,2024-06-04 14:26:30,Motherhub_SAI_4,2024-05-24 11:30:17,,Marked_As_RTO,5,EMUMSAI4-4957258,REACHED,2024-05-30 23:59:59,2024-05-27 11:30:00,,,LargeLogicBellampalliODH_BMP,2024-06-03 12:04:45,OD431314788148724100
FMPC3714460792,NORMAL_FORWARD,ECONOMY,,COD,294.0,390002,Delivered,VadodaraMPHub_BDQ,VadodaraMPHub_BDQ,2024-06-07 12:51:10,Motherhub_ABD,2024-05-17 15:19:42,Updated from FM,Marked_As_RTO,4,EBDQVDR-660970552,TERMINATED,2024-05-27 23:59:59,2024-05-21 11:30:00,,,LargeLogicBellampalliODH_BMP,2024-06-07 10:16:12,OD331263037210765100
FMPC3727368754,NORMAL_FORWARD,ECONOMY,,COD,795.0,501401,Undelivered_Not_Attended,Hyderabad_Grocery_Pudur_Warehouse_01,GroceryMH_HYD,2024-06-02 11:55:21,GroceryMH_HYD,2024-05-21 06:29:43,,Marked_As_RTO,6,682-189467,REACHED,2024-05-25 23:59:59,,,,LargeLogicBellampalliODH_BMP,2024-06-02 11:55:21,OD431307293220066200
FMPC3724580493,NORMAL_FORWARD,ECONOMY,,COD,6728.0,421302,Received_By_Ekl,Bhiwandi BTS,Bhiwandi BTS,2024-06-01 09:59:39,Motherhub_BTS,2024-05-20 01:24:29,Shipment Received at RC,Marked_As_RTO,3,EMUMBTSRC-934667,TERMINATED,2024-05-24 11:30:00,,,,LargeLogicBellampalliODH_BMP,2024-05-30 21:58:17,OD331298805409819100
